Reference,pH,C (%),N (%),P (g/kg),K (g/kg),O/C,H/C,SQI,Soil_reference
Wang et al. (2023),4.2,53.2,1.6,,,0.39,1.19,0.2584541817236859,Wang et al. (2023)
Gao et al. (2024),5.4,66.3,2.2,11.3,,0.27,,0.2392009587046664,Gao et al. (2024)
Gao et al. (2024),5.3,53.1,3.3,27.0,,0.51,,0.21309942771875054,Gao et al. (2024)
Wu et al. (2019),,45.9,3.6,,,0.56,1.64,0.2181122440165703,Wu et al. (2019)
Wu et al. (2019),,45.9,3.6,,,0.56,1.64,0.22467538737650058,Wu et al. (2019)
Wu et al. (2019),,45.9,3.6,,,0.56,1.64,0.23586757049253743,Wu et al. (2019)
Wu et al. (2019),,45.9,3.6,,,0.56,1.64,0.25468888633532427,Wu et al. (2019)
Wu et al. (2019),,45.9,3.6,,,0.56,1.64,0.32219179023828265,Wu et al. (2019)
Li et al. (2021),4.7,61.5,2.5,2.8,6.4,,,0.19149922744864256,Li et al. (2021)
Zhang et al. (2021),5.7,,,,,,,0.2031279933004552,Zhang et al. (2021)
Zhang et al. (2021),5.7,,,,,,,0.20938577105345457,Zhang et al. (2021)
Zhang et al. (2021),5.7,,,,,,,0.2269561946631531,Zhang et al. (2021)
Yuan et al. (2024),7.8,63.5,0.7,,,0.13,0.45,0.2875386761691237,Yuan et al. (2024)
Di Santo et al. (2025),7.0,30.6,0.8,,,0.11,2.02,0.22506653135305557,Di Santo et al. (2025)
Di Santo et al. (2025),7.0,30.6,0.8,,,0.11,2.02,0.27278783166653353,Di Santo et al. (2025)
Di Santo et al. (2025),6.3,61.8,1.1,,,0.15,1.2,0.23140953165751213,Di Santo et al. (2025)
Di Santo et al. (2025),6.3,61.8,1.1,,,0.15,1.2,0.26905268135229976,Di Santo et al. (2025)
Li et al. (2022),6.7,44.6,0.4,8.5,48.2,0.51,1.15,0.2010803500971888,Li et al. (2022)
Li et al. (2022),6.4,48.4,1.1,4.9,19.4,0.52,1.16,0.21054490834569647,Li et al. (2022)
Bona et al. (2023),8.6,,2.8,44.0,,,,0.2585553428651628,Bona et al. (2023)
Bona et al. (2023),8.6,,2.8,44.0,,,,0.2654744278722582,Bona et al. (2023)
Bona et al. (2023),6.2,,2.6,8.0,,,,0.2531123747962572,Bona et al. (2023)
Bona et al. (2023),6.2,,2.6,8.0,,,,0.2574089424214718,Bona et al. (2023)
Feng et al. (2023b),6.8,33.0,3.8,,,,,0.2138078131716896,Feng et al. (2023b)
Feng et al. (2023b),7.1,35.0,3.8,,,,,0.21516091442440197,Feng et al. (2023b)
Feng et al. (2023b),7.8,33.5,3.7,,,,,0.22281834232774375,Feng et al. (2023b)
Feng et al. (2023b),6.7,33.1,2.0,,,,,0.2138169267917949,Feng et al. (2023b)
Feng et al. (2023b),6.5,38.1,2.6,,,,,0.21472557777715187,Feng et al. (2023b)
Feng et al. (2023b),6.6,37.5,2.3,,,,,0.21435390930280498,Feng et al. (2023b)
Feng et al. (2023b),6.8,33.0,3.8,,,,,0.22102721125323657,Feng et al. (2023b)
Feng et al. (2023b),7.1,35.0,3.8,,,,,0.22439097553958917,Feng et al. (2023b)
Feng et al. (2023b),7.8,33.5,3.7,,,,,0.22445976035215046,Feng et al. (2023b)
Feng et al. (2023b),6.7,33.1,2.0,,,,,0.22086918501152095,Feng et al. (2023b)
Feng et al. (2023b),6.5,38.1,2.6,,,,,0.22398633748805205,Feng et al. (2023b)
Feng et al. (2023b),6.6,37.5,2.3,,,,,0.22290385648588215,Feng et al. (2023b)
Lang et al. (2024a),5.3,46.3,0.8,,,0.71,1.54,0.27885822189619586,Lang et al. (2024a)
Lang et al. (2024a),5.3,46.3,0.8,,,0.71,1.54,0.29604576929049925,Lang et al. (2024a)
Lang et al. (2024a),5.2,49.3,0.8,,,0.62,1.43,0.29243841017322986,Lang et al. (2024a)
Lang et al. (2024a),5.2,49.3,0.8,,,0.62,1.43,0.30661300787581836,Lang et al. (2024a)
Lang et al. (2024a),5.1,52.7,0.8,,,0.53,1.31,0.30534647031703943,Lang et al. (2024a)
Lang et al. (2024a),5.1,52.7,0.8,,,0.53,1.31,0.3133544167343625,Lang et al. (2024a)
Yao et al. (2025),4.2,69.0,0.9,,,,0.9,0.2639777241975208,Yao et al. (2025)
Yao et al. (2025),4.2,69.0,0.9,,,,0.9,0.27612748735695664,Yao et al. (2025)
Yin et al. (2022),7.7,15.0,,43.8,,,1.27,0.11720172689978015,Yin et al. (2022)
Yin et al. (2022),4.4,59.3,,4.7,,,1.04,0.12140723440280664,Yin et al. (2022)
Bahadirli et al. (2025),,73.2,1.8,,,0.26,,0.18302454095633805,Bahadirli et al. (2025)
Bahadirli et al. (2025),,73.2,1.8,,,0.26,,0.18366572996922367,Bahadirli et al. (2025)
Bahadirli et al. (2025),,73.2,1.8,,,0.26,,0.19793381183226438,Bahadirli et al. (2025)
Bahadirli et al. (2025),,73.2,1.8,,,0.26,,0.17764303104263968,Bahadirli et al. (2025)
Chen et al. (2025),,31.8,1.4,5.4,17.9,0.67,1.69,0.20782775383389354,Chen et al. (2025)
Ge et al. (2022a),4.5,67.1,2.0,18.3,,0.15,0.96,0.19972589271004806,Ge et al. (2022a)
Ge et al. (2022a),4.4,63.1,0.8,14.7,,0.25,1.21,0.19794866107083975,Ge et al. (2022a)
Dan et al. (2023),6.6,47.9,2.5,,,0.52,1.44,0.4055725992740654,Dan et al. (2023)
Dan et al. (2023),5.5,14.8,1.2,,,0.11,1.21,0.3068650203805302,Dan et al. (2023)
Feng et al. (2023a),6.8,33.0,3.8,,,0.3,1.91,0.22481787734572964,Feng et al. (2023a)
Feng et al. (2023a),7.1,35.0,3.8,,,0.17,1.8,0.2196120745635514,Feng et al. (2023a)
Feng et al. (2023a),7.8,33.5,3.7,,,0.13,1.78,0.21672169269518052,Feng et al. (2023a)
Feng et al. (2023a),6.7,33.1,2.0,,,0.24,1.69,0.21036980053214702,Feng et al. (2023a)
Feng et al. (2023a),6.5,38.1,2.6,,,0.09,1.53,0.2113216812426336,Feng et al. (2023a)
Feng et al. (2023a),6.6,37.5,2.3,,,0.02,1.46,0.20668509062261156,Feng et al. (2023a)
Ge et al. (2022b),4.5,67.1,1.97,18.3,,0.17,0.95,0.25783454983206827,Ge et al. (2022b)
Ge et al. (2022b),4.5,67.1,1.97,18.3,,0.17,0.95,0.33116709276390105,Ge et al. (2022b)
Watson et al. (2021),5.6,,2.7,,,,,0.2450271698686619,Watson et al. (2021)
Watson et al. (2021),5.6,,2.7,,,,,0.26793458094905903,Watson et al. (2021)
Watson et al. (2021),5.3,,2.7,,,,,0.24385735291023525,Watson et al. (2021)
Watson et al. (2021),5.3,,2.7,,,,,0.25805990528770617,Watson et al. (2021)
Jafari Tarf et al. (2022),7.6,22.1,2.0,1.1,2.9,,,0.17690666880685477,Jafari Tarf et al. (2022)
Jafari Tarf et al. (2022),7.6,22.1,2.0,1.1,2.9,,,0.17932553724063316,Jafari Tarf et al. (2022)
Jafari Tarf et al. (2022),7.6,22.1,2.0,1.1,2.9,,,0.18607011950223337,Jafari Tarf et al. (2022)
Jafari Tarf et al. (2022),7.8,21.5,1.3,1.8,2.1,,,0.17129466625233414,Jafari Tarf et al. (2022)
Jafari Tarf et al. (2022),7.8,21.5,1.3,1.8,2.1,,,0.17465548908125011,Jafari Tarf et al. (2022)
Jafari Tarf et al. (2022),7.8,21.5,1.3,1.8,2.1,,,0.1841077178881398,Jafari Tarf et al. (2022)
Jafari Tarf et al. (2022),5.3,56.4,1.9,0.0,2.0,,,0.17460612521328506,Jafari Tarf et al. (2022)
Jafari Tarf et al. (2022),5.3,56.4,1.9,0.0,2.0,,,0.19276074466757073,Jafari Tarf et al. (2022)
Jafari Tarf et al. (2022),5.3,56.4,1.9,0.0,2.0,,,0.20885451095601892,Jafari Tarf et al. (2022)
Chen et al. (2022),4.1,,,,,,,0.34098915494921456,Chen et al. (2022)
Chen et al. (2022),4.1,,,,,,,0.3371635322545645,Chen et al. (2022)
Chen et al. (2022),4.1,,,,,,,0.33448057993389574,Chen et al. (2022)
Chen et al. (2022),4.1,,,,,,,0.3042242517584003,Chen et al. (2022)
Chen et al. (2022),4.1,,,,,,,0.2963773349451431,Chen et al. (2022)
Chen et al. (2022),4.1,,,,,,,0.2914973631345159,Chen et al. (2022)
Chen et al. (2022),4.1,,,,,,,0.27167177929043723,Chen et al. (2022)
Chen et al. (2022),4.1,,,,,,,0.2676798409237504,Chen et al. (2022)
Chen et al. (2022),4.1,,,,,,,0.26173397911698576,Chen et al. (2022)
Suarez et al. (2025),4.6,57.0,2.5,8.5,57.2,0.42,1.15,0.27062688487075587,Suarez et al. (2025)
Suarez et al. (2025),4.6,57.0,2.5,8.5,57.2,0.42,1.15,0.2650955795271073,Suarez et al. (2025)
Suarez et al. (2025),4.6,57.0,2.5,8.5,57.2,0.42,1.15,0.25764355084510404,Suarez et al. (2025)
Suarez et al. (2025),4.8,56.9,2.0,2.6,8.7,0.42,1.3,0.2746483104667361,Suarez et al. (2025)
Suarez et al. (2025),4.8,56.9,2.0,2.6,8.7,0.42,1.3,0.26425913115232835,Suarez et al. (2025)
Suarez et al. (2025),4.8,56.9,2.0,2.6,8.7,0.42,1.3,0.2582111312029642,Suarez et al. (2025)
