feature,importance
C (%),0.4700632961165065
pH,0.1621639416268809
O/C,0.10365454770197191
P (g/kg),0.08752162479487587
N (%),0.08657263024898301
H/C,0.057461352153580954
K (g/kg),0.03256260735720085
