pH,EC (us/cm),CEC (cmol/kg),OM (g/kg),TC (mg/g),MBC mg/g,TN (mg/g),TP (mg/g),TK (mg/g),NH4+-N (mg/g),NO3--N (mg/g),AN (mg/g),AP (mg/g),AK (mg/g),Reference
,,,30.7,,,1.8,,,40.9,0.7,,,,Bona et al. (2023)
,,,30.5,,,1.9,,,0.2,2.0,,,,Bona et al. (2023)
,,,30.3,,,1.6,,,17.0,2.0,,,,Bona et al. (2023)
,,,16.5,,0.7,1.3,0.4,,,,,,,Feng et al. (2023b)
,,,17.0,,0.7,1.3,0.4,,,,,,,Feng et al. (2023b)
,,,20.0,,0.6,1.0,0.5,,,,,,,Feng et al. (2023b)
,,,16.7,,0.6,0.7,0.3,,,,,,,Feng et al. (2023b)
,,,17.0,,0.6,1.3,0.3,,,,,,,Feng et al. (2023b)
,,,16.7,,0.7,1.4,0.3,,,,,,,Feng et al. (2023b)
,,,19.3,,0.6,1.5,0.7,,,,,,,Feng et al. (2023b)
,,,20.4,,0.7,1.2,0.8,,,,,,,Feng et al. (2023b)
,,,20.6,,0.6,0.9,0.8,,,,,,,Feng et al. (2023b)
,,,19.3,,0.6,0.8,0.3,,,,,,,Feng et al. (2023b)
,,,20.4,,0.6,1.6,0.4,,,,,,,Feng et al. (2023b)
,,,20.0,,0.6,1.6,0.4,,,,,,,Feng et al. (2023b)
7.6,218.0,,32.3,,,,,,,,,,,Lang et al. (2024a)
7.6,273.7,,37.3,,,,,,,,,,,Lang et al. (2024a)
7.7,236.7,,35.6,,,,,,,,,,,Lang et al. (2024a)
7.6,311.0,,40.3,,,,,,,,,,,Lang et al. (2024a)
7.7,243.7,,40.2,,,,,,,,,,,Lang et al. (2024a)
7.6,323.0,,42.5,,,,,,,,,,,Lang et al. (2024a)
8.8,,,12.6,,,,,,5.1,11.4,,,,Yao et al. (2025)
8.7,,,18.3,,,,,,5.6,14.5,,,,Yao et al. (2025)
5.6,104.3,,5.5,,,,,,7.0,7.9,,4.0,262.3,Yin et al. (2022)
5.4,137.7,,8.2,,,,,,10.0,6.9,,2.0,335.0,Yin et al. (2022)
8.1,1.1,,5.7,,,,3.3,233.0,,,,,,Bahadirli et al. (2025)
8.0,1.1,,7.3,,,,2.6,229.0,,,,,,Bahadirli et al. (2025)
8.0,1.1,,10.6,,,,2.5,343.0,,,,,,Bahadirli et al. (2025)
8.1,1.0,,3.7,,,,2.8,235.0,,,,,,Bahadirli et al. (2025)
6.3,333.0,29.4,,,,0.4,0.2,,,,,,,Chen et al. (2025)
7.2,,3.1,10.3,,,,,,,,,34.7,,Ge et al. (2022a)
7.1,,3.2,10.9,,,,,,,,,33.3,,Ge et al. (2022a)
8.8,,,61.9,,,,,,,,,,,Dan et al. (2023)
7.6,,,40.6,,,,,,,,,,,Dan et al. (2023)
6.4,349.0,,,,,,,,,,,,,Feng et al. (2023a)
6.4,269.7,,,,,,,,,,,,,Feng et al. (2023a)
6.3,277.8,,,,,,,,,,,,,Feng et al. (2023a)
6.1,285.3,,,,,,,,,,,,,Feng et al. (2023a)
6.1,299.8,,,,,,,,,,,,,Feng et al. (2023a)
6.0,281.3,,,,,,,,,,,,,Feng et al. (2023a)
7.0,,11.5,33.0,,,,,,,,,15.4,,Ge et al. (2022b)
6.4,,13.5,67.3,,,,,,,,,22.3,,Ge et al. (2022b)
,,,,,,,,,4.6,101.0,,,,Watson et al. (2021)
,,,,,,,,,83.3,151.0,,,,Watson et al. (2021)
,,,,,,,,,0.6,83.0,,,,Watson et al. (2021)
,,,,,,,,,49.4,109.0,,,,Watson et al. (2021)
7.6,50.0,,3.7,,,0.1,,,,,,16.8,,Jafari Tarf et al. (2022)
7.5,59.0,,5.6,,,0.2,,,,,,22.0,,Jafari Tarf et al. (2022)
7.7,80.0,,5.0,,,0.2,,,,,,30.2,,Jafari Tarf et al. (2022)
7.6,36.0,,1.8,,,0.1,,,,,,42.1,,Jafari Tarf et al. (2022)
7.7,33.0,,1.7,,,0.1,,,,,,65.0,,Jafari Tarf et al. (2022)
7.7,36.0,,5.0,,,0.2,,,,,,82.4,,Jafari Tarf et al. (2022)
7.6,36.0,,3.2,,,0.1,,,,,,15.2,,Jafari Tarf et al. (2022)
7.8,31.0,,7.5,,,0.2,,,,,,14.4,,Jafari Tarf et al. (2022)
7.6,26.0,,16.1,,,0.2,,,,,,14.0,,Jafari Tarf et al. (2022)
