pH,EC (us/cm),CEC (cmol/kg),C (%),H (%),N (%),O (%),S (%),O/C,C/N,H/C,P (g/kg),K (g/kg),AR (%),Reference
4.2,,,53.2,5.3,1.6,27.4,,0.39,38.78,1.19,,,1.0,Wang et al. (2023)
4.2,,,53.2,5.3,1.6,27.4,,0.39,38.78,1.19,,,3.0,Wang et al. (2023)
5.4,2.7,,66.3,,2.2,23.7,,0.27,35.14,,11.3,,5.0,Gao et al. (2024)
5.3,4.2,,53.1,,3.3,35.9,,0.51,18.76,,27.0,,5.0,Gao et al. (2024)
,,,45.9,6.3,3.6,34.2,,0.56,14.87,1.64,,,0.3,Wu et al. (2019)
,,,45.9,6.3,3.6,34.2,,0.56,14.87,1.64,,,0.5,Wu et al. (2019)
,,,45.9,6.3,3.6,34.2,,0.56,14.87,1.64,,,1.0,Wu et al. (2019)
,,,45.9,6.3,3.6,34.2,,0.56,14.87,1.64,,,2.0,Wu et al. (2019)
,,,45.9,6.3,3.6,34.2,,0.56,14.87,1.64,,,5.0,Wu et al. (2019)
4.7,,,61.5,,2.5,,,,28.69,,2.8,6.4,3.0,Li et al. (2021)
5.7,"1,308.3",,,,,,,,,,,,1.0,Zhang et al. (2021)
5.7,"1,308.3",,,,,,,,,,,,2.0,Zhang et al. (2021)
5.7,"1,308.3",,,,,,,,,,,,4.0,Zhang et al. (2021)
7.8,"2,040.0",,63.5,2.4,0.7,11.1,,0.13,105.79,0.45,,,2.0,Yuan et al. (2024)
7.0,,,30.6,5.2,0.8,4.3,,0.11,44.61,2.02,,,0.3,Di Santo et al. (2025)
7.0,,,30.6,5.2,0.8,4.3,,0.11,44.61,2.02,,,0.7,Di Santo et al. (2025)
6.3,,,61.8,6.2,1.1,12.7,,0.15,65.52,1.20,,,0.3,Di Santo et al. (2025)
6.3,,,61.8,6.2,1.1,12.7,,0.15,65.52,1.20,,,0.7,Di Santo et al. (2025)
6.7,,,44.6,4.3,0.4,30.3,0.4,0.51,130.03,1.15,8.5,48.2,1.0,Li et al. (2022)
6.4,,,48.4,4.7,1.1,33.6,0.4,0.52,51.31,1.16,4.9,19.4,1.0,Li et al. (2022)
8.6,540.0,,,,2.8,,,,,,44.0,,0.5,Bona et al. (2023)
8.6,540.0,,,,2.8,,,,,,44.0,,1.0,Bona et al. (2023)
6.2,"1,180.0",,,,2.6,,,,,,8.0,,0.5,Bona et al. (2023)
6.2,"1,180.0",,,,2.6,,,,,,8.0,,1.0,Bona et al. (2023)
6.8,,,33.0,,3.8,,,,10.13,,,,0.5,Feng et al. (2023b)
7.1,,,35.0,,3.8,,,,10.74,,,,1.5,Feng et al. (2023b)
7.8,,,33.5,,3.7,,,,10.56,,,,0.5,Feng et al. (2023b)
6.7,,,33.1,,2.0,,,,19.30,,,,1.5,Feng et al. (2023b)
6.5,,,38.1,,2.6,,,,17.09,,,,0.5,Feng et al. (2023b)
6.6,,,37.5,,2.3,,,,19.01,,,,1.5,Feng et al. (2023b)
6.8,,,33.0,,3.8,,,,10.13,,,,0.5,Feng et al. (2023b)
7.1,,,35.0,,3.8,,,,10.74,,,,1.5,Feng et al. (2023b)
7.8,,,33.5,,3.7,,,,10.56,,,,0.5,Feng et al. (2023b)
6.7,,,33.1,,2.0,,,,19.30,,,,1.5,Feng et al. (2023b)
6.5,,,38.1,,2.6,,,,17.09,,,,0.5,Feng et al. (2023b)
6.6,,,37.5,,2.3,,,,19.01,,,,1.5,Feng et al. (2023b)
5.3,,,46.3,6.0,0.8,44.0,0.0,0.71,67.49,1.54,,,1.0,Lang et al. (2024a)
5.3,,,46.3,6.0,0.8,44.0,0.0,0.71,67.49,1.54,,,3.0,Lang et al. (2024a)
5.2,,,49.3,5.9,0.8,40.9,0.0,0.62,71.87,1.43,,,1.0,Lang et al. (2024a)
5.2,,,49.3,5.9,0.8,40.9,0.0,0.62,71.87,1.43,,,3.0,Lang et al. (2024a)
5.1,,,52.7,5.8,0.8,37.3,0.0,0.53,76.82,1.31,,,1.0,Lang et al. (2024a)
5.1,,,52.7,5.8,0.8,37.3,0.0,0.53,76.82,1.31,,,3.0,Lang et al. (2024a)
4.2,845.0,,69.0,5.2,0.9,,,,89.41,0.90,,,0.5,Yao et al. (2025)
4.2,845.0,,69.0,5.2,0.9,,,,89.41,0.90,,,1.0,Yao et al. (2025)
7.7,788.0,,15.0,1.6,,,0.1,,,1.27,43.8,,1.0,Yin et al. (2022)
4.4,"1,698.0",,59.3,5.2,,,-,,,1.04,4.7,,1.0,Yin et al. (2022)
,,,73.2,,1.8,25.0,,0.26,47.42,,,,0.2,Bahadirli et al. (2025)
,,,73.2,,1.8,25.0,,0.26,47.42,,,,0.4,Bahadirli et al. (2025)
,,,73.2,,1.8,25.0,,0.26,47.42,,,,0.81,Bahadirli et al. (2025)
,,,73.2,,1.8,25.0,,0.26,47.42,,,,0.16,Bahadirli et al. (2025)
,,,31.8,4.5,1.4,28.5,0.4,0.67,26.49,1.69,5.4,17.9,5.0,Chen et al. (2025)
4.5,,,67.1,5.4,2.0,13.5,,0.15,39.13,0.96,18.3,,0.5,Ge et al. (2022a)
4.4,,,63.1,6.4,0.8,21.1,,0.25,91.98,1.21,14.7,,0.5,Ge et al. (2022a)
6.6,,,47.9,5.8,2.5,33.3,,0.52,22.34,1.44,,,5.0,Dan et al. (2023)
5.5,,,14.8,1.5,1.2,2.1,,0.11,14.38,1.21,,,5.0,Dan et al. (2023)
6.8,,,33.0,5.3,3.8,13.4,0.4,0.30,10.13,1.91,,,1.5,Feng et al. (2023a)
7.1,,,35.0,5.3,3.8,7.9,0.4,0.17,10.74,1.80,,,1.5,Feng et al. (2023a)
7.8,,,33.5,5.0,3.7,5.9,0.4,0.13,10.56,1.78,,,1.5,Feng et al. (2023a)
6.7,,,33.1,4.7,2.0,10.5,0.4,0.24,19.30,1.69,,,1.5,Feng et al. (2023a)
6.5,,,38.1,4.9,2.6,4.6,0.4,0.09,17.09,1.53,,,1.5,Feng et al. (2023a)
6.6,,,37.5,4.6,2.3,1.0,0. 4,0.02,19.01,1.46,,,1.5,Feng et al. (2023a)
4.5,,40.3,67.1,5.37,1.97,15.5,0.3,0.17,39.72,0.95,18.3,,1.0,Ge et al. (2022b)
4.5,,40.3,67.1,5.37,1.97,15.5,0.3,0.17,39.72,0.95,18.3,,2.0,Ge et al. (2022b)
5.6,"2,900.0",,,,2.7,,,,,,,,2.5,Watson et al. (2021)
5.6,"2,900.0",,,,2.7,,,,,,,,5.0,Watson et al. (2021)
5.3,"3,400.0",,,,2.7,,,,,,,,2.5,Watson et al. (2021)
5.3,"3,400.0",,,,2.7,,,,,,,,5.0,Watson et al. (2021)
7.6,0.6,,22.1,,2.0,,,,12.89,,1.1,2.9,1.0,Jafari Tarf et al. (2022)
7.6,0.6,,22.1,,2.0,,,,12.89,,1.1,2.9,2.0,Jafari Tarf et al. (2022)
7.6,0.6,,22.1,,2.0,,,,12.89,,1.1,2.9,4.0,Jafari Tarf et al. (2022)
7.8,1.1,,21.5,,1.3,,,,19.29,,1.8,2.1,1.0,Jafari Tarf et al. (2022)
7.8,1.1,,21.5,,1.3,,,,19.29,,1.8,2.1,2.0,Jafari Tarf et al. (2022)
7.8,1.1,,21.5,,1.3,,,,19.29,,1.8,2.1,4.0,Jafari Tarf et al. (2022)
5.3,0.3,,56.4,,1.9,,,,34.62,,0.0,2.0,1.0,Jafari Tarf et al. (2022)
5.3,0.3,,56.4,,1.9,,,,34.62,,0.0,2.0,2.0,Jafari Tarf et al. (2022)
5.3,0.3,,56.4,,1.9,,,,34.62,,0.0,2.0,4.0,Jafari Tarf et al. (2022)
4.1,980.0,,,,,,,,,,,,2.0,Chen et al. (2022)
4.1,980.0,,,,,,,,,,,,4.0,Chen et al. (2022)
